adjective, child prenominal count, child postnominal count, adult prenominal count, adult postnominal count
arabe,0,0,5,18
auxiliaire,0,0,0,3
lou,0,0,0,1
propo,0,0,0,1
infirmier,0,0,0,9
bâti,0,0,0,4
interprofessionnel,0,0,0,3
lâche,0,0,2,1
spéculatif,0,0,0,1
vietnamien,0,0,2,6
rougesil,0,0,0,1
stéréotaxique,0,0,0,2
unique,0,0,2,29
infra-rouge,0,0,0,1
orangé,0,0,0,1
sous-marine,0,0,0,1
bercé,0,0,0,1
hollandais,0,0,0,3
compréhensible,0,0,0,3
nées,0,0,1,0
intervenant,0,0,0,2
gay,0,0,0,1
symbolique,0,0,0,3
stressé,0,0,1,1
multi-thèmes,0,0,0,3
joué,0,0,4,0
hyper-calme,0,0,1,0
chose,0,0,0,6
bloquent,0,0,0,1
baskettes,0,0,1,1
agréable,0,0,0,13
mental,0,0,0,8
délinquant,0,0,0,2
anecdotique,0,0,0,1
didactique,0,0,0,2
passionnant,0,0,0,1
stinkt,0,0,1,1
remboursable,0,0,0,1
vitré,0,0,0,5
scandinave,0,0,0,1
cla~,0,0,0,1
fait,0,0,8,15
auditif,0,0,0,2
maghrébin,0,0,0,11
facebook,0,0,0,2
paternel,0,0,0,5
agressif,0,0,0,4
capital,0,0,0,3
chirurgical,0,0,0,1
désepéré,0,0,0,1
prat-,0,0,1,0
capillaire,0,0,0,2
clé,0,0,1,4
volontaire,0,0,0,4
absurde,0,0,1,1
frère,0,0,3,2
riverain,0,0,0,1
valisette,0,0,1,1
vieilli,0,0,1,0
avoisinant,0,0,0,1
laqué,0,0,0,1
gymnasiale,0,0,0,3
incroyable,0,0,1,20
sale,3,3,18,6
bioch,0,0,0,1
gestionnaire,0,0,0,2
-clac,0,0,0,1
cardio-vasculaire,0,0,0,10
existentiel,0,0,0,1
compensé,0,0,0,1
lymphatique,0,0,0,1
dégueu,0,0,0,2
at-~,0,0,0,1
déconnecte,0,0,0,1
roux,0,0,0,7
supplémentaire,0,0,0,17
intrus,0,0,1,0
ecclésiastique,0,0,0,1
marchés,0,0,0,1
ç-~,0,0,0,2
vieux,0,0,168,8
catholique,0,0,7,13
psshh,0,0,0,1
véritable,0,0,32,4
franco-japonais,0,0,0,1
béat,0,0,0,1
second,0,0,6,5
long,1,1,81,49
fédéral,0,0,1,17
latino,0,0,0,1
gwenaëlle,0,0,1,0
vernissé,0,0,0,1
abusif,0,0,0,1
descriptif,0,0,0,2
gauche,0,0,18,65
propriétaire,0,0,1,2
ultérieur,0,0,0,6
interne,0,0,1,27
abondant,0,0,0,1
*septante_-huit*,0,0,0,1
missionnaire,0,0,0,1
livresque,0,0,0,3
électro-mécanique,0,0,0,1
ultra-compétente,0,0,0,1
fr,0,0,0,1
contribuable,0,0,0,2
choisi,0,0,2,0
entreprendre,0,0,0,2
perpignanaise,0,0,2,2
prochain,0,0,55,150
formateur,0,0,3,5
indépendant,0,0,0,9
rons,0,0,0,1
quinzième,0,0,3,0
coulissant,0,0,0,2
auquel,0,0,4,5
agronomique,0,0,0,1
câpre,0,0,0,1
gnangnan,0,0,1,0
acteur,0,0,0,2
amène,0,0,0,1
sl-~,0,0,1,0
préventif,0,0,0,1
inter-communale,0,0,0,1
cocina,0,0,0,1
apprendre,0,0,0,3
sina,0,0,0,1
fidèle,0,0,0,6
gothique,0,0,0,4
interfac,0,0,0,1
possible,0,0,5,65
murmurant,0,0,0,1
chronologique,0,0,0,4
catalan,0,0,0,3
ombilical,0,0,0,2
inexact,0,0,0,1
assuré,0,0,0,1
apres,0,0,0,1
palliatif,0,0,0,4
impersonnel,0,0,0,2
multiconfessionnel,0,0,0,1
intére-,0,0,1,0
dix-septième,0,0,10,8
en charge,0,0,0,1
bretonnant,0,0,0,2
compatible,0,0,0,1
dévisseuse,0,0,0,1
attenant,0,0,0,1
économique,0,0,3,80
cul,0,0,1,2
